EPOP,date,average,date_start,date_end,type
,,77.8,"January, 2000","April, 2016",3-month average
81.8,"January, 2000",,,,
81.8,"February, 2000",,,,
81.7,"March, 2000",,,,
81.9,"April, 2000",,,,
81.5,"May, 2000",,,,
81.5,"June, 2000",,,,
81.3,"July, 2000",,,,
81.1,"August, 2000",,,,
81.1,"September, 2000",,,,
81.1,"October, 2000",,,,
81.3,"November, 2000",,,,
81.4,"December, 2000",,,,
81.4,"January, 2001",,,,
81.3,"February, 2001",,,,
81.3,"March, 2001",,,,
80.9,"April, 2001",,,,
80.8,"May, 2001",,,,
80.6,"June, 2001",,,,
80.5,"July, 2001",,,,
80.2,"August, 2001",,,,
80.2,"September, 2001",,,,
79.9,"October, 2001",,,,
79.7,"November, 2001",,,,
79.8,"December, 2001",,,,
79.6,"January, 2002",,,,
79.8,"February, 2002",,,,
79.6,"March, 2002",,,,
79.5,"April, 2002",,,,
79.4,"May, 2002",,,,
79.2,"June, 2002",,,,
79.1,"July, 2002",,,,
79.3,"August, 2002",,,,
79.4,"September, 2002",,,,
79.2,"October, 2002",,,,
78.8,"November, 2002",,,,
79,"December, 2002",,,,
78.9,"January, 2003",,,,
78.9,"February, 2003",,,,
79,"March, 2003",,,,
79.1,"April, 2003",,,,
78.9,"May, 2003",,,,
78.9,"June, 2003",,,,
78.8,"July, 2003",,,,
78.7,"August, 2003",,,,
78.6,"September, 2003",,,,
78.6,"October, 2003",,,,
78.7,"November, 2003",,,,
78.8,"December, 2003",,,,
78.9,"January, 2004",,,,
78.8,"February, 2004",,,,
78.7,"March, 2004",,,,
78.9,"April, 2004",,,,
79,"May, 2004",,,,
79.1,"June, 2004",,,,
79.2,"July, 2004",,,,
79,"August, 2004",,,,
79,"September, 2004",,,,
79,"October, 2004",,,,
79.1,"November, 2004",,,,
78.9,"December, 2004",,,,
79.2,"January, 2005",,,,
79.2,"February, 2005",,,,
79.2,"March, 2005",,,,
79.4,"April, 2005",,,,
79.5,"May, 2005",,,,
79.2,"June, 2005",,,,
79.4,"July, 2005",,,,
79.6,"August, 2005",,,,
79.4,"September, 2005",,,,
79.3,"October, 2005",,,,
79.2,"November, 2005",,,,
79.3,"December, 2005",,,,
79.6,"January, 2006",,,,
79.7,"February, 2006",,,,
79.8,"March, 2006",,,,
79.6,"April, 2006",,,,
79.7,"May, 2006",,,,
79.8,"June, 2006",,,,
79.8,"July, 2006",,,,
79.8,"August, 2006",,,,
79.9,"September, 2006",,,,
80.1,"October, 2006",,,,
80,"November, 2006",,,,
80.1,"December, 2006",,,,
80.3,"January, 2007",,,,
80.1,"February, 2007",,,,
80.2,"March, 2007",,,,
80,"April, 2007",,,,
80,"May, 2007",,,,
79.9,"June, 2007",,,,
79.8,"July, 2007",,,,
79.8,"August, 2007",,,,
79.7,"September, 2007",,,,
79.6,"October, 2007",,,,
79.7,"November, 2007",,,,
79.7,"December, 2007",,,,
80,"January, 2008",,,,
79.9,"February, 2008",,,,
79.8,"March, 2008",,,,
79.6,"April, 2008",,,,
79.5,"May, 2008",,,,
79.4,"June, 2008",,,,
79.2,"July, 2008",,,,
78.8,"August, 2008",,,,
78.8,"September, 2008",,,,
78.4,"October, 2008",,,,
78.1,"November, 2008",,,,
77.6,"December, 2008",,,,
77,"January, 2009",,,,
76.7,"February, 2009",,,,
76.2,"March, 2009",,,,
76.2,"April, 2009",,,,
75.9,"May, 2009",,,,
75.9,"June, 2009",,,,
75.8,"July, 2009",,,,
75.6,"August, 2009",,,,
75.1,"September, 2009",,,,
75,"October, 2009",,,,
75.2,"November, 2009",,,,
74.8,"December, 2009",,,,
75.1,"January, 2010",,,,
75.1,"February, 2010",,,,
75.1,"March, 2010",,,,
75.4,"April, 2010",,,,
75.1,"May, 2010",,,,
75.2,"June, 2010",,,,
75.1,"July, 2010",,,,
75,"August, 2010",,,,
75.1,"September, 2010",,,,
75,"October, 2010",,,,
74.8,"November, 2010",,,,
75,"December, 2010",,,,
75.2,"January, 2011",,,,
75.1,"February, 2011",,,,
75.3,"March, 2011",,,,
75.1,"April, 2011",,,,
75.2,"May, 2011",,,,
75,"June, 2011",,,,
75,"July, 2011",,,,
75.1,"August, 2011",,,,
74.9,"September, 2011",,,,
74.9,"October, 2011",,,,
75.3,"November, 2011",,,,
75.4,"December, 2011",,,,
75.5,"January, 2012",,,,
75.6,"February, 2012",,,,
75.7,"March, 2012",,,,
75.7,"April, 2012",,,,
75.7,"May, 2012",,,,
75.6,"June, 2012",,,,
75.6,"July, 2012",,,,
75.7,"August, 2012",,,,
75.9,"September, 2012",,,,
76.1,"October, 2012",,,,
75.8,"November, 2012",,,,
75.9,"December, 2012",,,,
75.6,"January, 2013",,,,
75.8,"February, 2013",,,,
75.9,"March, 2013",,,,
75.9,"April, 2013",,,,
76,"May, 2013",,,,
75.9,"June, 2013",,,,
76,"July, 2013",,,,
75.9,"August, 2013",,,,
76,"September, 2013",,,,
75.6,"October, 2013",,,,
76,"November, 2013",,,,
76.1,"December, 2013",,,,
76.5,"January, 2014",,,,
76.5,"February, 2014",,,,
76.6,"March, 2014",,,,
76.5,"April, 2014",,,,
76.4,"May, 2014",,,,
76.8,"June, 2014",,,,
76.7,"July, 2014",,,,
76.8,"August, 2014",,,,
76.8,"September, 2014",,,,
76.9,"October, 2014",,,,
76.9,"November, 2014",,,,
77.1,"December, 2014",,,,
77.2,"January, 2015",,,,
77.3,"February, 2015",,,,
77.2,"March, 2015",,,,
77.2,"April, 2015",,,,
77.2,"May, 2015",,,,
77.2,"June, 2015",,,,
77.1,"July, 2015",,,,
77.2,"August, 2015",,,,
77.3,"September, 2015",,,,
77.2,"October, 2015",,,,
77.4,"November, 2015",,,,
77.4,"December, 2015",,,,
77.7,"January, 2016",,,,
77.8,"February, 2016",,,,
78,"March, 2016",,,,
77.7,"April, 2016",,,,
