date,employment,indexed,type
"January, 2007",115411,99.68301404,Private Sector
"February, 2007",115465,99.72965503,Private Sector
"March, 2007",115636,99.87735148,Private Sector
"April, 2007",115689,99.92312875,Private Sector
"May, 2007",115814,100.031094,Private Sector
"June, 2007",115878,100.0863722,Private Sector
"July, 2007",115881,100.0889634,Private Sector
"August, 2007",115802,100.0207293,Private Sector
"September, 2007",115837,100.0509596,Private Sector
"October, 2007",115904,100.108829,Private Sector
"November, 2007",115982,100.1761993,Private Sector
"December, 2007",116037,100.223704,Private Sector
"January, 2008",116044,100.22975,Private Sector
"February, 2008",115929,100.130422,Private Sector
"March, 2008",115825,100.0405949,Private Sector
"April, 2008",115608,99.85316727,Private Sector
"May, 2008",115390,99.66487588,Private Sector
"June, 2008",115191,99.49299521,Private Sector
"July, 2008",114931,99.26842751,Private Sector
"August, 2008",114666,99.03954119,Private Sector
"September, 2008",114244,98.67505053,Private Sector
"October, 2008",113759,98.25614538,Private Sector
"November, 2008",112979,97.58244226,Private Sector
"December, 2008",112288,96.98561039,Private Sector
"January, 2009",111474,96.28254072,Private Sector
"February, 2009",110774,95.67793536,Private Sector
"March, 2009",109967,94.98091174,Private Sector
"April, 2009",109164,94.28734302,Private Sector
"May, 2009",108873,94.03599993,Private Sector
"June, 2009",108444,93.66546321,Private Sector
"July, 2009",108170,93.4288034,Private Sector
"August, 2009",107942,93.23187479,Private Sector
"September, 2009",107809,93.11699978,Private Sector
"October, 2009",107536,92.88120368,Private Sector
"November, 2009",107520,92.86738413,Private Sector
"December, 2009",107292,92.67045553,Private Sector
"January, 2010",107311,92.68686624,Private Sector
"February, 2010",107257,92.64022526,Private Sector
"March, 2010",107378,92.74473561,Private Sector
"April, 2010",107570,92.91057023,Private Sector
"May, 2010",107665,92.99262381,Private Sector
"June, 2010",107788,93.09886161,Private Sector
"July, 2010",107889,93.18609753,Private Sector
"August, 2010",108004,93.28542556,Private Sector
"September, 2010",108125,93.38993591,Private Sector
"October, 2010",108332,93.56872636,Private Sector
"November, 2010",108465,93.68360138,Private Sector
"December, 2010",108574,93.77774707,Private Sector
"January, 2011",108624,93.82093317,Private Sector
"February, 2011",108855,94.02045294,Private Sector
"March, 2011",109103,94.23465598,Private Sector
"April, 2011",109457,94.54041355,Private Sector
"May, 2011",109585,94.65096996,Private Sector
"June, 2011",109785,94.82371435,Private Sector
"July, 2011",109970,94.98350291,Private Sector
"August, 2011",110109,95.10356026,Private Sector
"September, 2011",110389,95.34540241,Private Sector
"October, 2011",110576,95.50691841,Private Sector
"November, 2011",110749,95.65634231,Private Sector
"December, 2011",110973,95.84981603,Private Sector
"January, 2012",111320,96.14952754,Private Sector
"February, 2012",111581,96.37495897,Private Sector
"March, 2012",111818,96.57966108,Private Sector
"April, 2012",111908,96.65739605,Private Sector
"May, 2012",112038,96.7696799,Private Sector
"June, 2012",112110,96.83186789,Private Sector
"July, 2012",112270,96.9700634,Private Sector
"August, 2012",112444,97.12035102,Private Sector
"September, 2012",112624,97.27582097,Private Sector
"October, 2012",112788,97.41747137,Private Sector
"November, 2012",112959,97.56516782,Private Sector
"December, 2012",113192,97.76641504,Private Sector
"January, 2013",113395,97.94175059,Private Sector
"February, 2013",113692,98.19827601,Private Sector
"March, 2013",113842,98.3278343,Private Sector
"April, 2013",114035,98.49453264,Private Sector
"May, 2013",114260,98.68887008,Private Sector
"June, 2013",114433,98.83829398,Private Sector
"July, 2013",114595,98.97821693,Private Sector
"August, 2013",114837,99.18723764,Private Sector
"September, 2013",115016,99.34184387,Private Sector
"October, 2013",115219,99.51717943,Private Sector
"November, 2013",115499,99.75902158,Private Sector
"December, 2013",115570,99.82034583,Private Sector
"January, 2014",115767,99.99049906,Private Sector
"February, 2014",115925,100.1269671,Private Sector
"March, 2014",116186,100.3523986,Private Sector
"April, 2014",116468,100.5959681,Private Sector
"May, 2014",116683,100.7816684,Private Sector
"June, 2014",116950,101.0122821,Private Sector
"July, 2014",117194,101.2230303,Private Sector
"August, 2014",117425,101.4225501,Private Sector
"September, 2014",117662,101.6272522,Private Sector
"October, 2014",117852,101.7913593,Private Sector
"November, 2014",118176,102.0712052,Private Sector
"December, 2014",118455,102.3121837,Private Sector
"January, 2015",118669,102.4970202,Private Sector
"February, 2015",118921,102.7146781,Private Sector
"March, 2015",119011,102.7924131,Private Sector
