date,u,uadd,type,type2
"Jan, 2000",4,4,U3,
"Feb, 2000",4.1,4.1,U3,
"Mar, 2000",4,4,U3,
"Apr, 2000",3.8,3.8,U3,
"May, 2000",4,4,U3,
"Jun, 2000",4,4,U3,
"Jul, 2000",4,4,U3,
"Aug, 2000",4.1,4.1,U3,
"Sep, 2000",3.9,3.9,U3,
"Oct, 2000",3.9,3.9,U3,
"Nov, 2000",3.9,3.9,U3,
"Dec, 2000",3.9,3.9,U3,
"Jan, 2001",4.2,4.2,U3,
"Feb, 2001",4.2,4.2,U3,
"Mar, 2001",4.3,4.3,U3,
"Apr, 2001",4.4,4.4,U3,
"May, 2001",4.3,4.3,U3,
"Jun, 2001",4.5,4.5,U3,
"Jul, 2001",4.6,4.6,U3,
"Aug, 2001",4.9,4.9,U3,
"Sep, 2001",5,5,U3,
"Oct, 2001",5.3,5.3,U3,
"Nov, 2001",5.5,5.5,U3,
"Dec, 2001",5.7,5.7,U3,
"Jan, 2002",5.7,5.7,U3,
"Feb, 2002",5.7,5.7,U3,
"Mar, 2002",5.7,5.7,U3,
"Apr, 2002",5.9,5.9,U3,
"May, 2002",5.8,5.8,U3,
"Jun, 2002",5.8,5.8,U3,
"Jul, 2002",5.8,5.8,U3,
"Aug, 2002",5.7,5.7,U3,
"Sep, 2002",5.7,5.7,U3,
"Oct, 2002",5.7,5.7,U3,
"Nov, 2002",5.9,5.9,U3,
"Dec, 2002",6,6,U3,
"Jan, 2003",5.8,5.8,U3,
"Feb, 2003",5.9,5.9,U3,
"Mar, 2003",5.9,5.9,U3,
"Apr, 2003",6,6,U3,
"May, 2003",6.1,6.1,U3,
"Jun, 2003",6.3,6.3,U3,
"Jul, 2003",6.2,6.2,U3,
"Aug, 2003",6.1,6.1,U3,
"Sep, 2003",6.1,6.1,U3,
"Oct, 2003",6,6,U3,
"Nov, 2003",5.8,5.8,U3,
"Dec, 2003",5.7,5.7,U3,
"Jan, 2004",5.7,5.7,U3,
"Feb, 2004",5.6,5.6,U3,
"Mar, 2004",5.8,5.8,U3,
"Apr, 2004",5.6,5.6,U3,
"May, 2004",5.6,5.6,U3,
"Jun, 2004",5.6,5.6,U3,
"Jul, 2004",5.5,5.5,U3,
"Aug, 2004",5.4,5.4,U3,
"Sep, 2004",5.4,5.4,U3,
"Oct, 2004",5.5,5.5,U3,
"Nov, 2004",5.4,5.4,U3,
"Dec, 2004",5.4,5.4,U3,
"Jan, 2005",5.3,5.3,U3,
"Feb, 2005",5.4,5.4,U3,
"Mar, 2005",5.2,5.2,U3,
"Apr, 2005",5.2,5.2,U3,
"May, 2005",5.1,5.1,U3,
"Jun, 2005",5,5,U3,
"Jul, 2005",5,5,U3,
"Aug, 2005",4.9,4.9,U3,
"Sep, 2005",5,5,U3,
"Oct, 2005",5,5,U3,
"Nov, 2005",5,5,U3,
"Dec, 2005",4.9,4.9,U3,
"Jan, 2006",4.7,4.7,U3,
"Feb, 2006",4.8,4.8,U3,
"Mar, 2006",4.7,4.7,U3,
"Apr, 2006",4.7,4.7,U3,
"May, 2006",4.6,4.6,U3,
"Jun, 2006",4.6,4.6,U3,
"Jul, 2006",4.7,4.7,U3,
"Aug, 2006",4.7,4.7,U3,
"Sep, 2006",4.5,4.5,U3,
"Oct, 2006",4.4,4.4,U3,
"Nov, 2006",4.5,4.5,U3,
"Dec, 2006",4.4,4.4,U3,
"Jan, 2007",4.6,4.6,U3,
"Feb, 2007",4.5,4.5,U3,
"Mar, 2007",4.4,4.4,U3,
"Apr, 2007",4.5,4.5,U3,
"May, 2007",4.4,4.4,U3,
"Jun, 2007",4.6,4.6,U3,
"Jul, 2007",4.7,4.7,U3,
"Aug, 2007",4.6,4.6,U3,
"Sep, 2007",4.7,4.7,U3,
"Oct, 2007",4.7,4.7,U3,
"Nov, 2007",4.7,4.7,U3,
"Dec, 2007",5,5,U3,
"Jan, 2008",5,5,U3,
"Feb, 2008",4.9,4.9,U3,
"Mar, 2008",5.1,5.1,U3,
"Apr, 2008",5,5,U3,
"May, 2008",5.4,5.4,U3,
"Jun, 2008",5.6,5.6,U3,
"Jul, 2008",5.8,5.8,U3,
"Aug, 2008",6.1,6.1,U3,
"Sep, 2008",6.1,6.1,U3,
"Oct, 2008",6.5,6.5,U3,
