year,month,date,parttime,laborforce,value,type
2007,January,"January, 2007",4279,153144,2.79,Part-time for economic reasons
2007,February,"February, 2007",4220,152983,2.76,Part-time for economic reasons
2007,March,"March, 2007",4253,153051,2.78,Part-time for economic reasons
2007,April,"April, 2007",4313,152435,2.83,Part-time for economic reasons
2007,May,"May, 2007",4473,152670,2.93,Part-time for economic reasons
2007,June,"June, 2007",4342,153041,2.84,Part-time for economic reasons
2007,July,"July, 2007",4410,153054,2.88,Part-time for economic reasons
2007,August,"August, 2007",4576,152749,3,Part-time for economic reasons
2007,September,"September, 2007",4521,153414,2.95,Part-time for economic reasons
2007,October,"October, 2007",4325,153183,2.82,Part-time for economic reasons
2007,November,"November, 2007",4494,153835,2.92,Part-time for economic reasons
2007,December,"December, 2007",4618,153918,3,Part-time for economic reasons
2008,January,"January, 2008",4846,154063,3.15,Part-time for economic reasons
2008,February,"February, 2008",4902,153653,3.19,Part-time for economic reasons
2008,March,"March, 2008",4904,153908,3.19,Part-time for economic reasons
2008,April,"April, 2008",5220,153769,3.39,Part-time for economic reasons
2008,May,"May, 2008",5286,154303,3.43,Part-time for economic reasons
2008,June,"June, 2008",5540,154313,3.59,Part-time for economic reasons
2008,July,"July, 2008",5930,154469,3.84,Part-time for economic reasons
2008,August,"August, 2008",5851,154641,3.78,Part-time for economic reasons
2008,September,"September, 2008",6148,154570,3.98,Part-time for economic reasons
2008,October,"October, 2008",6690,154876,4.32,Part-time for economic reasons
2008,November,"November, 2008",7311,154639,4.73,Part-time for economic reasons
2008,December,"December, 2008",8029,154655,5.19,Part-time for economic reasons
2009,January,"January, 2009",8046,154210,5.22,Part-time for economic reasons
2009,February,"February, 2009",8796,154538,5.69,Part-time for economic reasons
2009,March,"March, 2009",9145,154133,5.93,Part-time for economic reasons
2009,April,"April, 2009",8908,154509,5.77,Part-time for economic reasons
2009,May,"May, 2009",9113,154747,5.89,Part-time for economic reasons
2009,June,"June, 2009",9024,154716,5.83,Part-time for economic reasons
2009,July,"July, 2009",8891,154502,5.75,Part-time for economic reasons
2009,August,"August, 2009",9029,154307,5.85,Part-time for economic reasons
2009,September,"September, 2009",8847,153827,5.75,Part-time for economic reasons
2009,October,"October, 2009",8979,153784,5.84,Part-time for economic reasons
2009,November,"November, 2009",9114,153878,5.92,Part-time for economic reasons
2009,December,"December, 2009",9098,153111,5.94,Part-time for economic reasons
2010,January,"January, 2010",8530,153484,5.56,Part-time for economic reasons
2010,February,"February, 2010",8936,153694,5.81,Part-time for economic reasons
2010,March,"March, 2010",9233,153954,6,Part-time for economic reasons
2010,April,"April, 2010",9178,154622,5.94,Part-time for economic reasons
2010,May,"May, 2010",8845,154091,5.74,Part-time for economic reasons
2010,June,"June, 2010",8577,153616,5.58,Part-time for economic reasons
2010,July,"July, 2010",8500,153691,5.53,Part-time for economic reasons
2010,August,"August, 2010",8800,154086,5.71,Part-time for economic reasons
2010,September,"September, 2010",9246,153975,6,Part-time for economic reasons
2010,October,"October, 2010",8837,153635,5.75,Part-time for economic reasons
2010,November,"November, 2010",8873,154125,5.76,Part-time for economic reasons
2010,December,"December, 2010",8935,153650,5.82,Part-time for economic reasons
2011,January,"January, 2011",8470,153263,5.53,Part-time for economic reasons
2011,February,"February, 2011",8464,153214,5.52,Part-time for economic reasons
2011,March,"March, 2011",8645,153376,5.64,Part-time for economic reasons
2011,April,"April, 2011",8652,153543,5.63,Part-time for economic reasons
2011,May,"May, 2011",8576,153479,5.59,Part-time for economic reasons
2011,June,"June, 2011",8427,153346,5.5,Part-time for economic reasons
2011,July,"July, 2011",8281,153288,5.4,Part-time for economic reasons
2011,August,"August, 2011",8788,153760,5.72,Part-time for economic reasons
2011,September,"September, 2011",9166,154131,5.95,Part-time for economic reasons
2011,October,"October, 2011",8657,153961,5.62,Part-time for economic reasons
2011,November,"November, 2011",8447,154128,5.48,Part-time for economic reasons
