date,value,type,raw inflation
"January, 2007",4.1,Year over year change in earnings for production and nonsupervisory workers,
"February, 2007",4.1,Year over year change in earnings for production and nonsupervisory workers,
"March, 2007",4.1,Year over year change in earnings for production and nonsupervisory workers,
"April, 2007",3.8,Year over year change in earnings for production and nonsupervisory workers,
"May, 2007",4.1,Year over year change in earnings for production and nonsupervisory workers,
"June, 2007",4.1,Year over year change in earnings for production and nonsupervisory workers,
"July, 2007",4.1,Year over year change in earnings for production and nonsupervisory workers,
"August, 2007",4,Year over year change in earnings for production and nonsupervisory workers,
"September, 2007",4.1,Year over year change in earnings for production and nonsupervisory workers,
"October, 2007",3.8,Year over year change in earnings for production and nonsupervisory workers,
"November, 2007",3.9,Year over year change in earnings for production and nonsupervisory workers,
"December, 2007",3.8,Year over year change in earnings for production and nonsupervisory workers,
"January, 2008",3.8,Year over year change in earnings for production and nonsupervisory workers,
"February, 2008",3.8,Year over year change in earnings for production and nonsupervisory workers,
"March, 2008",3.8,Year over year change in earnings for production and nonsupervisory workers,
"April, 2008",3.6,Year over year change in earnings for production and nonsupervisory workers,
"May, 2008",3.8,Year over year change in earnings for production and nonsupervisory workers,
"June, 2008",3.6,Year over year change in earnings for production and nonsupervisory workers,
"July, 2008",3.7,Year over year change in earnings for production and nonsupervisory workers,
"August, 2008",3.9,Year over year change in earnings for production and nonsupervisory workers,
"September, 2008",3.7,Year over year change in earnings for production and nonsupervisory workers,
"October, 2008",3.9,Year over year change in earnings for production and nonsupervisory workers,
"November, 2008",3.8,Year over year change in earnings for production and nonsupervisory workers,
"December, 2008",3.9,Year over year change in earnings for production and nonsupervisory workers,
"January, 2009",3.7,Year over year change in earnings for production and nonsupervisory workers,
"February, 2009",3.7,Year over year change in earnings for production and nonsupervisory workers,
"March, 2009",3.5,Year over year change in earnings for production and nonsupervisory workers,
"April, 2009",3.4,Year over year change in earnings for production and nonsupervisory workers,
"May, 2009",3.1,Year over year change in earnings for production and nonsupervisory workers,
"June, 2009",2.9,Year over year change in earnings for production and nonsupervisory workers,
"July, 2009",2.8,Year over year change in earnings for production and nonsupervisory workers,
"August, 2009",2.6,Year over year change in earnings for production and nonsupervisory workers,
"September, 2009",2.7,Year over year change in earnings for production and nonsupervisory workers,
"October, 2009",2.7,Year over year change in earnings for production and nonsupervisory workers,
"November, 2009",2.7,Year over year change in earnings for production and nonsupervisory workers,
"December, 2009",2.5,Year over year change in earnings for production and nonsupervisory workers,
"January, 2010",2.7,Year over year change in earnings for production and nonsupervisory workers,
"February, 2010",2.5,Year over year change in earnings for production and nonsupervisory workers,
"March, 2010",2.3,Year over year change in earnings for production and nonsupervisory workers,
