date,index,type,raw_emp,first_year_average,,,,,,,,,,,,,,,
"January, 2007",101.3,Construction,7725,7627.3,,,,,,,,,,,,,,,
"February, 2007",100.0,Construction,7626,7627.333333,,,,,,,,,,,,,,,
"March, 2007",101.0,Construction,7706,7627.333333,,,,,,,,,,,,,,,
"April, 2007",100.8,Construction,7686,7627.333333,,,,,,,,,,,,,,,
"May, 2007",100.6,Construction,7673,7627.333333,,,,,,,,,,,,,,,
"June, 2007",100.8,Construction,7687,7627.333333,,,,,,,,,,,,,,,
"July, 2007",100.4,Construction,7660,7627.333333,,,,,,,,,,,,,,,
"August, 2007",99.8,Construction,7610,7627.333333,,,,,,,,,,,,,,,
"September, 2007",99.3,Construction,7577,7627.333333,,,,,,,,,,,,,,,
"October, 2007",99.2,Construction,7565,7627.333333,,,,,,,,,,,,,,,
"November, 2007",98.6,Construction,7523,7627.333333,,,,,,,,,,,,,,,
"December, 2007",98.2,Construction,7490,7627.333333,,,,,,,,,,,,,,,
"January, 2008",98.0,Construction,7476,7627.333333,,,,,,,,,,,,,,,
"February, 2008",97.7,Construction,7453,7627.333333,,,,,,,,,,,,,,,
"March, 2008",97.1,Construction,7406,7627.333333,,,,,,,,,,,,,,,
"April, 2008",96.1,Construction,7327,7627.333333,,,,,,,,,,,,,,,
"May, 2008",95.4,Construction,7274,7627.333333,,,,,,,,,,,,,,,
"June, 2008",94.6,Construction,7213,7627.333333,,,,,,,,,,,,,,,
"July, 2008",93.9,Construction,7160,7627.333333,,,,,,,,,,,,,,,
"August, 2008",93.3,Construction,7114,7627.333333,,,,,,,,,,,,,,,
"September, 2008",92.4,Construction,7044,7627.333333,,,,,,,,,,,,,,,
"October, 2008",91.3,Construction,6967,7627.333333,,,,,,,,,,,,,,,
"November, 2008",89.3,Construction,6813,7627.333333,,,,,,,,,,,,,,,
"December, 2008",87.9,Construction,6701,7627.333333,,,,,,,,,,,,,,,
"January, 2009",86.1,Construction,6567,7627.333333,,,,,,,,,,,,,,,
"February, 2009",84.5,Construction,6446,7627.333333,,,,,,,,,,,,,,,
"March, 2009",82.5,Construction,6291,7627.333333,,,,,,,,,,,,,,,
"April, 2009",80.7,Construction,6154,7627.333333,,,,,,,,,,,,,,,
"May, 2009",80.0,Construction,6100,7627.333333,,,,,,,,,,,,,,,
"June, 2009",78.8,Construction,6010,7627.333333,,,,,,,,,,,,,,,
"July, 2009",77.8,Construction,5932,7627.333333,,,,,,,,,,,,,,,
"August, 2009",76.8,Construction,5855,7627.333333,,,,,,,,,,,,,,,
"September, 2009",75.9,Construction,5787,7627.333333,,,,,,,,,,,,,,,
"October, 2009",74.9,Construction,5716,7627.333333,,,,,,,,,,,,,,,
"November, 2009",74.7,Construction,5696,7627.333333,,,,,,,,,,,,,,,
"December, 2009",74.1,Construction,5654,7627.333333,,,,,,,,,,,,,,,
"January, 2010",73.2,Construction,5580,7627.333333,,,,,,,,,,,,,,,
"February, 2010",72.1,Construction,5500,7627.333333,,,,,,,,,,,,,,,
"March, 2010",72.6,Construction,5537,7627.333333,,,,,,,,,,,,,,,
"April, 2010",72.8,Construction,5553,7627.333333,,,,,,,,,,,,,,,
"May, 2010",72.4,Construction,5520,7627.333333,,,,,,,,,,,,,,,
"June, 2010",72.3,Construction,5516,7627.333333,,,,,,,,,,,,,,,
"July, 2010",72.2,Construction,5508,7627.333333,,,,,,,,,,,,,,,
"August, 2010",72.4,Construction,5524,7627.333333,,,,,,,,,,,,,,,
"September, 2010",72.1,Construction,5501,7627.333333,,,,,,,,,,,,,,,
"October, 2010",72.2,Construction,5508,7627.333333,,,,,,,,,,,,,,,
"November, 2010",72.2,Construction,5506,7627.333333,,,,,,,,,,,,,,,
"December, 2010",71.7,Construction,5467,7627.333333,,,,,,,,,,,,,,,
"January, 2011",71.2,Construction,5427,7627.333333,,,,,,,,,,,,,,,
"February, 2011",71.5,Construction,5451,7627.333333,,,,,,,,,,,,,,,
"March, 2011",71.8,Construction,5477,7627.333333,,,,,,,,,,,,,,,
"April, 2011",71.9,Construction,5485,7627.333333,,,,,,,,,,,,,,,
"May, 2011",72.3,Construction,5516,7627.333333,,,,,,,,,,,,,,,
"June, 2011",72.5,Construction,5528,7627.333333,,,,,,,,,,,,,,,
