type,date,epop
< High school,"October, 2016",7.3
< High school,"September, 2016",8.5
< High school,"August, 2016",7.2
< High school,"July, 2016",6.3
< High school,"June, 2016",7.5
< High school,"May, 2016",7.1
< High school,"April, 2016",7.5
< High school,"March, 2016",7.4
< High school,"February, 2016",7.3
< High school,"January, 2016",7.4
< High school,"December, 2015",6.7
< High school,"November, 2015",6.8
< High school,"October, 2015",7.3
< High school,"September, 2015",7.7
< High school,"August, 2015",7.7
< High school,"July, 2015",8.2
< High school,"June, 2015",8.1
< High school,"May, 2015",8.5
< High school,"April, 2015",8.5
< High school,"March, 2015",8.6
< High school,"February, 2015",8.4
< High school,"January, 2015",8.6
< High school,"December, 2014",8.8
< High school,"November, 2014",8.6
< High school,"October, 2014",7.9
< High school,"September, 2014",8.3
< High school,"August, 2014",9.1
< High school,"July, 2014",9.4
< High school,"June, 2014",9.1
< High school,"May, 2014",9.0
< High school,"April, 2014",8.7
< High school,"March, 2014",9.4
< High school,"February, 2014",10.0
< High school,"January, 2014",9.6
< High school,"December, 2013",9.9
< High school,"November, 2013",10.6
< High school,"October, 2013",10.8
< High school,"September, 2013",10.5
< High school,"August, 2013",11.2
< High school,"July, 2013",10.7
< High school,"June, 2013",10.7
< High school,"May, 2013",10.9
< High school,"April, 2013",11.5
< High school,"March, 2013",11.1
< High school,"February, 2013",11.3
< High school,"January, 2013",12.0
< High school,"December, 2012",11.7
< High school,"November, 2012",11.9
< High school,"October, 2012",12.0
< High school,"September, 2012",11.6
< High school,"August, 2012",11.8
< High school,"July, 2012",12.3
< High school,"June, 2012",12.7
< High school,"May, 2012",12.9
< High school,"April, 2012",12.5
< High school,"March, 2012",12.8
< High school,"February, 2012",13.2
< High school,"January, 2012",13.0
< High school,"December, 2011",13.7
< High school,"November, 2011",12.8
< High school,"October, 2011",13.5
< High school,"September, 2011",14.3
< High school,"August, 2011",14.1
< High school,"July, 2011",14.5
< High school,"June, 2011",14.4
< High school,"May, 2011",14.5
< High school,"April, 2011",14.7
< High school,"March, 2011",14.1
< High school,"February, 2011",14.0
< High school,"January, 2011",14.3
< High school,"December, 2010",15.0
< High school,"November, 2010",15.4
< High school,"October, 2010",15.0
< High school,"September, 2010",15.6
< High school,"August, 2010",14.1
< High school,"July, 2010",13.5
< High school,"June, 2010",14.2
< High school,"May, 2010",14.6
< High school,"April, 2010",14.7
< High school,"March, 2010",14.9
< High school,"February, 2010",15.8
< High school,"January, 2010",15.3
< High school,"December, 2009",15.0
< High school,"November, 2009",14.7
< High school,"October, 2009",15.2
< High school,"September, 2009",14.9
< High school,"August, 2009",15.6
< High school,"July, 2009",15.3
< High school,"June, 2009",15.6
< High school,"May, 2009",15.2
< High school,"April, 2009",14.9
< High school,"March, 2009",14.0
< High school,"February, 2009",13.2
< High school,"January, 2009",12.4
< High school,"December, 2008",11.1
< High school,"November, 2008",10.8
< High school,"October, 2008",10.3
< High school,"September, 2008",9.8
< High school,"August, 2008",9.7
< High school,"July, 2008",8.6
< High school,"June, 2008",8.7
< High school,"May, 2008",8.1
< High school,"April, 2008",7.7
< High school,"March, 2008",8.4
< High school,"February, 2008",7.4
< High school,"January, 2008",7.7
< High school,"December, 2007",7.7
< High school,"November, 2007",7.7
< High school,"October, 2007",7.3
< High school,"September, 2007",7.6
< High school,"August, 2007",6.5
< High school,"July, 2007",7.3
< High school,"June, 2007",6.7
< High school,"May, 2007",6.6
< High school,"April, 2007",7.1
< High school,"March, 2007",6.9
< High school,"February, 2007",7.3
< High school,"January, 2007",6.9
< High school,"December, 2006",6.7
< High school,"November, 2006",6.6
< High school,"October, 2006",5.8
< High school,"September, 2006",6.4
< High school,"August, 2006",6.8
< High school,"July, 2006",7.1
< High school,"June, 2006",7.1
< High school,"May, 2006",7.0
< High school,"April, 2006",6.9
< High school,"March, 2006",6.9
< High school,"February, 2006",7.1
< High school,"January, 2006",7.0
< High school,"December, 2005",7.4
< High school,"November, 2005",7.4
< High school,"October, 2005",7.3
< High school,"September, 2005",8.2
< High school,"August, 2005",7.5
< High school,"July, 2005",7.5
< High school,"June, 2005",6.9
< High school,"May, 2005",7.8
< High school,"April, 2005",8.2
< High school,"March, 2005",7.8
< High school,"February, 2005",7.8
< High school,"January, 2005",7.7
< High school,"December, 2004",8.1
< High school,"November, 2004",8.0
< High school,"October, 2004",8.4
< High school,"September, 2004",8.7
< High school,"August, 2004",8.1
< High school,"July, 2004",8.2
< High school,"June, 2004",8.7
< High school,"May, 2004",8.8
< High school,"April, 2004",8.6
< High school,"March, 2004",8.8
< High school,"February, 2004",8.6
< High school,"January, 2004",9.1
< High school,"December, 2003",7.9
< High school,"November, 2003",8.7
< High school,"October, 2003",9.0
< High school,"September, 2003",8.6
< High school,"August, 2003",9.3
< High school,"July, 2003",8.8
< High school,"June, 2003",9.4
< High school,"May, 2003",9.0
< High school,"April, 2003",8.5
